sectionNumber,title,label,remark
1, Introduction,,
2, State of the art,,
2.1, Knowledge-based and behavior-based assistants,,
2.2, Automatic evaluation and generation  of visualizations,,
2.3, Summary and position of our proposal,,
3, Overview and proposed models,,
4, The initial suggestion of visualizations,Assess[Score][H]|Recommend[Encoding][Opt],"Themore a visualization will account for the user’s objectives, the higher the score. This algorithm attempts to match the most effective visual attributes with the most important data attributes, with constraints imposed by compatible data types and compatible number of values"
5, Interactive genetic algorithm,Recommend[Encoding][Opt],"We proposed a second interface, which allows the user to adjust and refine the mapping {visual encoding} of the chosen visualization in an interactive manner"
6, Properties of VizAssist,,
6.1, Adding a new visualization and current state of VBK,,
6.2, Other properties,,
7, User evaluation,,
7.1, Overview of the user study,,
7.2, Results and discussion,,
8, Conclusions and perspectives,,
