sectionNumber,title,label,remark
1, Introduction,,
2, Motivation for a novel retrieval methodology,,
2.1, Structural content of infographics,,
2.2, Message content of infographics,,
2.3, Queries and their information needs,,
3, A novel retrieval methodology: background and overview,Querying[Keyword][Best-Match],
4, Query processing,,
5, Expanded representation of Infographics,
6, Rank ordering infographics for retrieval,,
7, Experiments and evaluation,,
8, Related work,,
8.1, Document retrieval research,,
8.2, Infographic processing and image retrieval,,
8.3, Long query processing,,
8.4, Semi-structured data retrieval,,
9, Limitations and future work,,
10, Conclusion,,
