sectionNumber,title,label,remark
1,Introduction,,
2,Related Work,,
2.1,Natural Language Interfaces for Data Visualization,,
2.2,Visualization Toolkits and Grammars,,
2.3,Natural Language Processing Toolkits,,
3,NL4DV Overview,,
4,NL4DV Design and Implementation,,
4.1,Data Interpretation,,
4.2,Query Interpretation,Recommend[Encoding][Opt],"To determine visualiza- tions relevant to the input query, NL4DV checks the query for explicit requests for visualization types (e.g., Figure 1a) or implicitly infers visualizations from attributes and tasks"
5,Example Applications,,
5.1,Using NL4DV in Jupyter Notebook,,
5.2,Creating Visualization Systems with NL4DV,,
5.3,Adding NL Input to an Existing Visualization System,,
6,Discussion and Future Work,,
7,Conclusion,,
