sectionNumber,title,label,remark
1,Introduction,,
2, Related work,,
3, Overview,,
4,Dataset of infographics,DatasetCollection,
5, Crowdsourcing similarity data,DatasetCollection ,
6, Modeling similarity in infographics,,
6.1, Features,Feature[Engineering][Graphics],"low-level visual features"
6.2, Feature implementation,Feature[Engineering][Graphics],"low-level visual features"
6.3, Learning algorithm,Compare[Graphics][Distance],"The weighted distance"
7,Results,,
8, Search engine for infographics,Querying[Example][Best-Match],"We have implemented an image retrieval algorithm that returns stylistically similar images to a given query image"
9, Conclusions and future work,,
