sectionNumber,title,label,remark
1,Introduction,,
2,RELATED WORK
2.1,Classifying Visualization Images
2.2,Extracting Marks from Charts
2.3,Automated Visualization Design
3,SYSTEM OVERVIEW,
3.1,STAGE 1: CLASSIFYING CHART IMAGES,Feature[Engineering][Graphics]|ReverseEngineering[ChartRecognition],"Using Low-Level Image Features for Classification;Using Text-Level Features to Improve Classificatio"
3.2,STAGE 2: MARK AND DATA EXTRACTION,ReverseEngineering[ElementDetection]|ReverseEngineering[ElementClustering]|ReverseEngineering[Composing]
3.3,STAGE 3: REDESIGN
4,LIMITATIONS AND FUTURE WORK
5,CONCLUSION
