sectionNumber,title,label,remark
1,Introduction,,
2,RELATED WORK
2.1,Mobile and Mobile Web Visualization
2.2,Machine Understanding of Visualization
2.3,Automated Visualization Design
3,MOBILE-FRIENDLY ISSUES IN WEB VISUALIZATIONS
4,MOBILEVISFIXER - OVERVIEW
5,DECONSTRUCTION,ReverseEngineering[ElementDetection]|ReverseEngineering[ElementClustering]|ReverseEngineering[Composing]
6,OPTIMIZATION,
6.1,Design Goals
6.2,Explainable MDP Model,Assess[Score][H],"MobileVisFixer defines the cost function J(ψ) in respect to each mobile-friendly issue"
6.3,Heuristic,Recommend[Encoding][Opt],"MobileVisFixer uses a reinforcement learning framework to solve the optimization problem"
7,EVALUATION
8,DISCUSSION AND FUTURE WORK
