sectionNumber,title,label,remark
1,Introduction,,
2,Related Work
2.1, Assistive Technologies While
2.2,Assistive Technologies for Visual Impairment Vision
2.3,Visualization for the Non-Visual Visualization
2.4,Extracting Data from Charts
3,Domain Characterization
4,Extracting Data from Chart Images,ReverseEngineering[ElementDetection]|ReverseEngineering[ElementClustering]|ReverseEngineering[ChartRecognition]|ReverseEngineering[Composing]
5,Quantitative Evaluation 
6,Qualitative Evaluation
7,Conclusion and Future Work
