sectionNumber,title,label,remark
1,Introduction,
2,RELATED WORK
2.1,Declarative Visualization Specification
2.2,Automated Visualization
2.3,DNNs for Synthesis
2.4,DNNs for Machine Translation
3,MODEL,Recommend[Encoding][Prediction]|Feature[Learning][Program],"Our input sequence is a dataset (fields, values in JSON format) and our output sequence is a valid Vega-Lite visualization specification. Existing models used for sequence translation belong to a family of encoder–decoder networks."
4,DATA AND PREPROCESSING
5,RESULTS
6,DISCUSSION
6.1,Impact and Use Cases
6.2,Limitations
6.3,Future Work
7,CONCLUSION
