sectionNumber,title,label,remark
1,Introduction,,
2,Related Work,,
3,Experimental Setup,,
4,Experiment 1: Elementary Perceptual Tasks,Reasoning[VPL][ML]|Feature[Learning][Graphics],
5,Experiment 2: Position-Angle,Reasoning[VPL][ML]|Feature[Learning][Graphics],
6,Experiment 3: Position-Length,Reasoning[VPL][ML]|Feature[Learning][Graphics],
7,Experiment 4: Bars and Framed Rectangles,Reasoning[VPL][ML]|Feature[Learning][Graphics],
8,Experiment 5: Point Cloud Experiment,Reasoning[VPL][ML]|Feature[Learning][Graphics],
9,Discussion,,
10,Conclusions,,
