sectionNumber,title,label,remark
1,Introduction,,
2,Related work,,
2.1,mixed-initiative approach and system,,
2.2,chart data extraction,,
2.3,applications using chart data extraction,,
3,chartsense system,,
3.1,chart classification,ReverseEngineering[ChartRecognition]|Feature[Learning][Graphics] ,
3.2,data extraction,ReverseEngineering[ElementDetection]|ReverseEngineering[ElementClustering]|ReverseEngineering[Composing],
4,evaluation: controlled experiment,,
5,discussion and future wrok,,
5.1,Chart Type Classification Accuracy,,
5.2,Mixed-initiative Approach,,
5.3,Generalizability,,
6,CONCLUSION,,
