sectionNumber,title,label,remark
1,Introduction,,
2,Related Work,,
2.1,Modeling Visualization State Spaces,,
2.2,Visualization Recommender Systems,,
2.3,Grammar-Based Visualization Specification,,
3,Comparing Chart Transition Types,,
4,Empirical Study of Edit Operation Rankings,,
5,The GraphScape Model,Feature[Engineering][Program]|Compare[Program][Difference],"GraphScape consists of a directed graph that models the visu- alization design space in terms of editing operations between chart specifications, and a sequence cost function that assigns a numerical score to an ordered set of chart specification"
6,Evaluation: Sequence Ratings,,
7,GraphScape Applications,,
8,Conclusion & Future Work,,
