sectionNumber,title,label,remark
1,Introduction,,
2,Background & Related Work,,
2.1,Visualization Specification,,
2.2,Automated Visualization Design,,
2.3,Draco,,
2.4,Multi-View Consistency and Visualization Sequencing,,
2.5,GraphScape,,
3,Design Considerations,,
4,The Dziban API,,
5,Dziban Implementation Details,,
5.1,Knowledge Representation,Compare[Program][Difference]|Assess[Score][ML]|Feature[Engineering][Program],"{From GraphScape and Draco}"
5.2,Recommendation Execution,Recommend[Encoding][Opt],
6,Anchored Recommendation Use Cases,,
7,Benchmarking Anchored Recommendations,,
8,Discussion,,
8.1,Takeaways from Use Cases and Benchmark,,
8.2,Improving Dziban,,
8.3,Applications of Dziban and Anchored Recommendations,,
9,Conclusion,,
10,Achnowledgements,,
11,References ,,
