sectionNumber,title,label,remark
1,Introduction,
2,Related Work,
2.1,Data-Driven Storytelling,
2.2,Automatic Data Visualization,
2.3,Natural Language Generation,
3,Design of the Calliope System,Recommend[Hybrid]
4,Story Generation Engine, Recommend[Data][Opt],"the path with the highest reward is identified as the best story"
5,Data Story Editor,
5.1,User Interface,
5.2,Visualizing a Data Story,Recommend[Encoding][Opt],"automatically visualized in two steps by following a rule-based approach"
6,Evaluation,
6.1,Example Stories,
6.2,Evaluation of the Generated Logic,
6.3,Expert Interview,
7,Limitations and Future Work,
8,Conclusion,
